Date	Close	Open	High	Low	Volume	Chg%
Dec 08, 2017	28,588	28,650	28,650	28,500	8.42K	-0.29%
Dec 07, 2017	28,670	28,932	28,932	28,653	7.38K	-1.04%
Dec 06, 2017	28,972	28,950	29,039	28,922	6.38K	0.27%
Dec 05, 2017	28,893	29,095	29,170	28,865	0.05K	-0.57%
Dec 04, 2017	29,059	29,021	29,200	28,970	0.09K	-0.54%
Dec 01, 2017	29,217	29,045	29,344	29,038	2.16K	0.78%
Nov 30, 2017	28,992	29,287	29,287	28,927	6.54K	-0.76%
Nov 29, 2017	29,215	29,430	29,441	29,188	5.89K	-0.56%
Nov 28, 2017	29,381	29,450	29,456	29,359	5.80K	-0.27%
Nov 27, 2017	29,460	29,450	29,510	29,402	6.55K	0.29%
Nov 24, 2017	29,375	29,475	29,500	29,357	5.80K	-0.15%
Nov 23, 2017	29,420	29,475	29,510	29,393	5.78K	-0.28%
Nov 22, 2017	29,504	29,341	29,525	29,280	7.80K	0.58%
Nov 21, 2017	29,334	29,410	29,425	29,277	7.66K	-0.02%
Nov 20, 2017	29,339	29,700	29,729	29,268	10.65K	-1.08%
Nov 17, 2017	29,658	29,462	29,689	29,361	9.90K	0.57%
Nov 16, 2017	29,491	29,544	29,555	29,452	7.79K	-0.13%
Nov 15, 2017	29,528	29,600	29,740	29,512	9.84K	-0.31%
Nov 14, 2017	29,620	29,550	29,660	29,411	10.22K	0.00%
Nov 13, 2017	29,619	29,504	29,636	29,473	6.19K	0.38%
Nov 10, 2017	29,508	29,640	29,700	29,468	9.68K	-0.55%
Nov 09, 2017	29,670	29,530	29,689	29,466	9.36K	0.37%
Nov 08, 2017	29,562	29,451	29,600	29,438	7.90K	0.36%
Nov 07, 2017	29,457	29,349	29,490	29,333	8.21K	0.32%
Nov 06, 2017	29,363	29,130	29,388	29,130	7.66K	0.59%
Nov 03, 2017	29,191	29,230	29,456	29,002	0.05K	-0.17%
Nov 02, 2017	29,242	29,301	29,318	29,168	0.34K	0.42%
Nov 01, 2017	29,120	29,048	29,260	28,991	2.16K	0.28%
Oct 31, 2017	29,040	29,300	29,337	28,958	5.80K	-1.05%
Oct 30, 2017	29,349	29,263	29,369	29,204	4.82K	0.26%
Oct 27, 2017	29,272	29,223	29,299	29,169	6.53K	0.12%
Oct 26, 2017	29,236	29,375	29,443	29,211	8.37K	-0.43%
Oct 25, 2017	29,362	29,475	29,475	29,275	8.11K	-0.46%
Oct 24, 2017	29,498	29,515	29,537	29,444	5.50K	-0.00%
Oct 23, 2017	29,499	29,502	29,550	29,364	7.21K	-0.14%
Oct 20, 2017	29,541	29,600	29,622	29,524	3.22K	-0.38%
Oct 19, 2017	29,654	29,600	29,669	29,593	1.70K	0.40%
Oct 18, 2017	29,536	29,640	29,643	29,504	5.08K	-0.10%
Oct 17, 2017	29,565	29,751	29,751	29,550	8.27K	-0.82%
Oct 16, 2017	29,808	29,809	29,896	29,790	5.77K	0.03%
Oct 13, 2017	29,800	29,750	29,817	29,660	7.31K	0.15%
Oct 12, 2017	29,756	29,725	29,840	29,692	6.88K	0.33%
Oct 11, 2017	29,659	29,717	29,770	29,638	5.43K	-0.37%
Oct 10, 2017	29,768	29,700	29,798	29,700	6.98K	0.33%
Oct 09, 2017	29,670	29,540	29,718	29,540	6.17K	0.54%
Oct 06, 2017	29,510	29,325	29,540	29,274	11.30K	0.33%
Oct 05, 2017	29,412	29,469	29,469	29,361	0.06K	0.28%
Oct 04, 2017	29,331	29,479	29,513	29,258	0.23K	-0.23%
Oct 03, 2017	29,400	29,420	29,456	29,352	1.53K	-0.50%
Sep 29, 2017	29,549	29,615	29,740	29,430	7.49K	-0.25%
Sep 28, 2017	29,624	29,650	29,706	29,530	7.99K	-0.17%
Sep 27, 2017	29,673	29,861	29,944	29,644	10.37K	-0.71%
Sep 26, 2017	29,885	30,129	30,195	29,802	11.90K	-0.60%
Sep 25, 2017	30,065	29,580	30,150	29,525	13.45K	1.54%
Sep 22, 2017	29,608	29,660	29,767	29,586	8.54K	0.08%
Sep 21, 2017	29,584	29,620	29,680	29,450	13.18K	-0.66%
Sep 20, 2017	29,780	29,660	29,817	29,660	8.42K	0.51%
Sep 19, 2017	29,628	29,521	29,690	29,521	8.11K	0.23%
